SEASON,Season_long,Lg,Tm,W,L,Age
2021,2021-22,NBA,GSW,53,29,27.6
2020,2020-21,NBA,GSW,39,33,26.7
2019,2019-20,NBA,GSW,15,50,24.4
2018,2018-19,NBA,GSW,57,25,28.4
2017,2017-18,NBA,GSW,58,24,28.8
2016,2016-17,NBA,GSW,67,15,28.2
2015,2015-16,NBA,GSW,73,9,27.4
2014,2014-15,NBA,GSW,67,15,26.6
2013,2013-14,NBA,GSW,51,31,26.3
2012,2012-13,NBA,GSW,47,35,25.3
2011,2011-12,NBA,GSW,23,43,25.3
2010,2010-11,NBA,GSW,36,46,25.2
2009,2009-10,NBA,GSW,26,56,25.1
2008,2008-09,NBA,GSW,29,53,25
2007,2007-08,NBA,GSW,48,34,25.5
2006,2006-07,NBA,GSW,42,40,24.6
2005,2005-06,NBA,GSW,34,48,25.6
2004,2004-05,NBA,GSW,34,48,26.7
2003,2003-04,NBA,GSW,37,45,28.1
